#Perc	time	N	Ekin	Epot	Eges
0.2%	1.51	5	0.992118	11.5108	12.5029
0.2%	1.52	5	0.989847	11.513	12.5029
0.2%	1.53	5	0.987499	11.5154	12.5029
0.2%	1.54	5	0.985075	11.5178	12.5029
0.2%	1.55	5	0.982577	11.5203	12.5029
0.2%	1.56	5	0.980006	11.5229	12.5029
0.2%	1.57	5	0.977362	11.5255	12.5029
0.2%	1.58	5	0.974648	11.5283	12.5029
0.2%	1.59	5	0.971865	11.5311	12.5029
0.2%	1.6	5	0.969014	11.5339	12.5029
0.2%	1.61	5	0.966097	11.5368	12.5029
0.2%	1.62	5	0.963116	11.5398	12.5029
0.2%	1.63	5	0.960072	11.5429	12.5029
0.2%	1.64	5	0.956968	11.546	12.503
0.2%	1.65	5	0.953803	11.5492	12.503
0.2%	1.66	5	0.950582	11.5524	12.503
0.2%	1.67	5	0.947305	11.5557	12.503
0.2%	1.68	5	0.943975	11.559	12.503
0.2%	1.69	5	0.940593	11.5624	12.503
0.2%	1.7	5	0.937161	11.5658	12.503
0.2%	1.71	5	0.933682	11.5693	12.503
0.2%	1.72	5	0.930158	11.5729	12.503
0.2%	1.73	5	0.92659	11.5764	12.503
0.2%	1.74	5	0.922981	11.58	12.503
0.2%	1.75	5	0.919334	11.5837	12.503
0.2%	1.76	5	0.915649	11.5874	12.503
0.2%	1.77	5	0.911931	11.5911	12.503
0.2%	1.78	5	0.90818	11.5949	12.5031
0.2%	1.79	5	0.9044	11.5987	12.5031
0.2%	1.8	5	0.900592	11.6025	12.5031
0.2%	1.81	5	0.896758	11.6063	12.5031
0.2%	1.82	5	0.892902	11.6102	12.5031
0.2%	1.83	5	0.889025	11.6141	12.5031
0.2%	1.84	5	0.88513	11.618	12.5031
0.2%	1.85	5	0.881219	11.6219	12.5031
0.2%	1.86	5	0.877295	11.6258	12.5031
0.2%	1.87	5	0.873359	11.6298	12.5031
0.2%	1.88	5	0.869413	11.6337	12.5031
0.2%	1.89	5	0.865461	11.6377	12.5031
0.2%	1.9	5	0.861505	11.6416	12.5031
0.2%	1.91	5	0.857546	11.6456	12.5031
0.2%	1.92	5	0.853587	11.6496	12.5031
0.2%	1.93	5	0.849629	11.6535	12.5031
0.2%	1.94	5	0.845676	11.6575	12.5032
0.2%	1.95	5	0.841729	11.6614	12.5032
0.2%	1.96	5	0.837791	11.6654	12.5032
0.2%	1.97	5	0.833862	11.6693	12.5032
0.2%	1.98	5	0.829946	11.6732	12.5032
0.2%	1.99	5	0.826044	11.6771	12.5032
0.2%	2	5	0.822159	11.681	12.5032
0.2%	2.01	5	0.818291	11.6849	12.5032
0.2%	2.02	5	0.814443	11.6888	12.5032
0.2%	2.03	5	0.810616	11.6926	12.5032
0.2%	2.04	5	0.806812	11.6964	12.5032
0.2%	2.05	5	0.803034	11.7002	12.5032
0.2%	2.06	5	0.799282	11.7039	12.5032
0.2%	2.07	5	0.795558	11.7077	12.5032
0.2%	2.08	5	0.791863	11.7114	12.5032
0.2%	2.09	5	0.788199	11.715	12.5032
0.2%	2.1	5	0.784568	11.7187	12.5032
0.2%	2.11	5	0.78097	11.7223	12.5032
0.2%	2.12	5	0.777408	11.7258	12.5032
0.2%	2.13	5	0.773881	11.7294	12.5032
0.2%	2.14	5	0.770392	11.7329	12.5032
0.2%	2.15	5	0.766942	11.7363	12.5032
0.2%	2.16	5	0.763531	11.7397	12.5033
0.2%	2.17	5	0.760161	11.7431	12.5033
0.2%	2.18	5	0.756832	11.7464	12.5033
0.2%	2.19	5	0.753546	11.7497	12.5033
0.2%	2.2	5	0.750303	11.753	12.5033
0.2%	2.21	5	0.747105	11.7562	12.5033
0.2%	2.22	5	0.743952	11.7593	12.5033
0.2%	2.23	5	0.740845	11.7624	12.5033
0.2%	2.24	5	0.737784	11.7655	12.5033
0.2%	2.25	5	0.73477	11.7685	12.5033
0.2%	2.26	5	0.731804	11.7715	12.5033
0.2%	2.27	5	0.728887	11.7744	12.5033
0.2%	2.28	5	0.726018	11.7773	12.5033
0.2%	2.29	5	0.723198	11.7801	12.5033
0.2%	2.3	5	0.720429	11.7829	12.5033
0.2%	2.31	5	0.717709	11.7856	12.5033
0.2%	2.32	5	0.715041	11.7883	12.5033
0.2%	2.33	5	0.712423	11.7909	12.5033
0.2%	2.34	5	0.709856	11.7934	12.5033
0.2%	2.35	5	0.70734	11.796	12.5033
